net_junctionCornerDetail;net_limitTurnSpeed;net_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;type_allow;type_id;type_numLanes;type_oneway;type_priority;type_speed;type_width;type_disallow;edge_function;edge_id;lane_disallow;lane_id;lane_index;lane_length;lane_shape;lane_speed;edge_from;edge_name;edge_priority;edge_to;edge_type;param_key;param_value;edge_shape;edge_spreadType;tlLogic_id;tlLogic_offset;tlLogic_programID;tlLogic_type;phase_duration;phase_maxDur;phase_minDur;phase_state;junction_id;junction_incLanes;junction_intLanes;junction_shape;junction_type;junction_x;junction_y;request_cont;request_foes;request_index;request_response;connection_dir;connection_from;connection_fromLane;connection_state;connection_to;connection_toLane;connection_via;connection_linkIndex;connection_tl;roundabout_edges;roundabout_nodes
5;5.50;1.3;0.00,0.00,2416.37,2101.21;-278339.83,1334228.30;-77.036153,-12.062068,-77.014022,-12.043056;+proj=utm +zone=18 +ellps=WGS84 +datum=WGS84 +units=m +no_defs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;pedestrian;highway.bridleway;1;1;1;2.78;2.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;bus;highway.bus_guideway;1;1;1;27.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;bicycle;highway.cycleway;1;0;1;8.33;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;pedestrian;highway.footway;1;1;1;2.78;2.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;army;highway.ford;1;0;1;2.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.living_street;1;0;2;2.78;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;private emergency authority army vip passenger hov taxi bus coach delivery truck trailer motorcycle evehicle custom1 custom2;highway.motorway;2;1;14;39.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;private emergency authority army vip passenger hov taxi bus coach delivery truck trailer motorcycle evehicle custom1 custom2;highway.motorway_link;1;1;9;22.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;pedestrian bicycle;highway.path;1;1;1;2.78;2.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;pedestrian;highway.pedestrian;1;1;1;2.78;2.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.primary;2;0;12;27.78;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.primary_link;1;0;7;22.22;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;vip;highway.raceway;2;0;15;83.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.residential;1;0;3;13.89;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.secondary;2;0;11;27.78;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.secondary_link;1;0;6;22.22;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;pedestrian delivery bicycle;highway.service;1;0;1;5.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;pedestrian;highway.stairs;1;1;1;1.39;2.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;pedestrian;highway.step;1;1;1;1.39;2.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;pedestrian;highway.steps;1;1;1;1.39;2.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.tertiary;1;0;10;22.22;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.tertiary_link;1;0;5;22.22;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.track;1;0;1;5.56;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.trunk;2;0;13;27.78;;pedestrian bicycle tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.trunk_link;1;0;8;22.22;;pedestrian bicycle tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.unclassified;1;0;4;13.89;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;highway.unsurfaced;1;0;1;8.33;;tram rail_urban rail rail_electric rail_fast ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;rail_fast;railway.highspeed;1;1;21;69.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;rail_urban;railway.light_rail;1;1;19;27.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;rail;railway.preserved;1;1;16;27.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;rail;railway.rail;1;1;20;44.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;rail_urban;railway.subway;1;1;18;27.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;tram;railway.tram;1;1;17;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273615895_0;tram rail_urban rail rail_electric rail_fast ship;:1273615895_0_0;0;9.48;1151.65,662.92 1151.63,653.44;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273615895_0;tram rail_urban rail rail_electric rail_fast ship;:1273615895_0_1;1;9.48;1154.85,662.91 1154.83,653.44;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273615895_2;tram rail_urban rail rail_electric rail_fast ship;:1273615895_2_0;0;8.19;1154.85,662.91 1155.08,660.06 1155.78,658.11 1156.96,657.04 1158.61,656.86;5.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273615895_3;tram rail_urban rail rail_electric rail_fast ship;:1273615895_3_0;0;8.04;1158.16,660.03 1156.71,659.44 1155.67,658.15 1155.04,656.15 1154.83,653.44;6.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273615895_4;tram rail_urban rail rail_electric rail_fast ship;:1273615895_4_0;0;4.67;1158.16,660.03 1157.09,659.07 1156.80,658.22 1157.31,657.49 1158.61,656.86;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273644039_0;tram rail_urban rail rail_electric rail_fast ship;:1273644039_0_0;0;9.54;1162.34,478.44 1162.30,481.44 1163.17,482.99 1164.94,483.10 1167.62,481.77;5.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273644039_1;tram rail_urban rail rail_electric rail_fast ship;:1273644039_1_0;0;4.67;1162.34,478.44 1161.39,479.53 1160.54,479.82 1159.80,479.32 1159.16,478.03;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273644039_2;tram rail_urban rail rail_electric rail_fast ship;:1273644039_2_0;0;14.36;1153.84,491.01 1155.67,489.12 1157.17,486.33 1158.33,482.63 1159.16,478.03;12.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273644039_3;tram rail_urban rail rail_electric rail_fast ship;:1273644039_3_0;0;16.46;1153.84,491.01 1167.62,481.77;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273644039_3;tram rail_urban rail rail_electric rail_fast ship;:1273644039_3_1;1;16.46;1155.71,493.61 1169.37,484.44;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273644039_3;tram rail_urban rail rail_electric rail_fast ship;:1273644039_3_2;2;16.46;1157.58,496.21 1171.13,487.12;13.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273669001_0;tram rail_urban rail rail_electric rail_fast ship;:1273669001_0_0;0;9.04;394.38,1088.16 392.54,1089.85 391.71,1091.70 391.90,1093.71 393.10,1095.90;6.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273669001_1;tram rail_urban rail rail_electric rail_fast ship;:1273669001_1_0;0;4.67;394.38,1088.16 392.93,1088.18 392.15,1087.74 392.03,1086.86 392.57,1085.52;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273669001_2;tram rail_urban rail rail_electric rail_fast ship;:1273669001_2_0;0;9.15;384.67,1084.14 386.34,1085.96 388.22,1086.80 390.30,1086.65 392.57,1085.52;6.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273669001_3;tram rail_urban rail rail_electric rail_fast ship;:1273669001_3_0;0;14.55;384.67,1084.14 393.10,1095.90;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273669001_3;tram rail_urban rail rail_electric rail_fast ship;:1273669001_3_1;1;14.55;382.02,1085.94 390.55,1097.82;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273704006_0;tram rail_urban rail rail_electric rail_fast ship;:1273704006_0_0;0;12.92;443.67,514.48 437.53,503.11;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273704006_1;tram rail_urban rail rail_electric rail_fast ship;:1273704006_1_0;0;9.16;443.67,514.48 442.70,511.96 442.94,510.09 444.38,508.89 447.03,508.34;5.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273704006_2;tram rail_urban rail rail_electric rail_fast ship;:1273704006_2_0;0;9.14;434.15,509.34 436.75,508.74 438.18,507.50 438.44,505.62 437.53,503.11;5.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273704006_3;tram rail_urban rail rail_electric rail_fast ship;:1273704006_3_0;0;12.92;434.15,509.34 447.03,508.34;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273732444_0;tram rail_urban rail rail_electric rail_fast ship;:1273732444_0_0;0;5.01;1349.34,374.11 1349.66,369.11;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273800333_0;tram rail_urban rail rail_electric rail_fast ship;:1273800333_0_0;0;5.02;1557.34,782.69 1556.02,783.09 1555.16,783.82 1554.74,784.87 1554.78,786.25;5.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273800333_1;;:1273800333_1_0;0;4.67;1557.34,782.69 1556.04,782.08 1555.52,781.35 1555.79,780.50 1556.86,779.53;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273800333_2;;:1273800333_2_0;0;5.11;1553.06,777.05 1553.53,778.32 1554.31,779.15 1555.42,779.56 1556.86,779.53;5.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273800333_3;tram rail_urban rail rail_electric rail_fast ship;:1273800333_3_0;0;9.35;1553.06,777.05 1554.78,786.25;11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273822968_0;tram rail_urban rail rail_electric rail_fast ship;:1273822968_0_0;0;6.26;1688.20,759.32 1690.16,758.85 1691.61,758.14 1692.56,757.18 1693.00,755.97;6.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273822968_1;;:1273822968_1_0;0;4.67;1688.20,759.32 1689.51,759.92 1690.02,760.65 1689.75,761.51 1688.69,762.48;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273822968_2;;:1273822968_2_0;0;5.34;1691.85,765.49 1691.79,763.97 1691.24,762.96 1690.21,762.46 1688.69,762.48;4.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273822968_3;tram rail_urban rail rail_electric rail_fast ship;:1273822968_3_0;0;9.58;1691.85,765.49 1693.00,755.97;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273827461_0;tram rail_urban rail rail_electric rail_fast ship;:1273827461_0_0;0;5.00;1255.19,355.77 1254.43,360.71;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273827461_1;tram rail_urban rail rail_electric rail_fast ship;:1273827461_1_0;0;4.67;1255.19,355.77 1254.22,356.83 1253.37,357.11 1252.64,356.59 1252.03,355.28;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.3;;;;;;;;;;;;;internal;:1273827461_2;tram rail_urban rail rail_electric rail_fast ship;:1273827461_2_0;0;5.00;1251.27,360.22 1252.03,355.28;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
